web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Wilson,BRE,FWD,5.5,0.3,3,0.8,13,0,0,0,0.07,0.04,0.11,0.15,2,718,3190,-2472,0.0,a,
Boscagli,BHA,DEF,4.5,0.3,13,3.2,347,4,0,0,0.06,0.51,0.57,6.82,22,696,1080,-384,0.0,a,
Oriola,BHA,MID,4.5,0.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,562,1465,-903,0.0,a,
Andrews,COV,MID,4.5,0.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,2790,-2790,0.0,u,0
Tomiyasu,CRY,DEF,4.5,0.3,2,0.5,144,1,0,0,0.00,0.02,0.02,3.44,14,187,1456,-1269,0.0,a,
Khalaili,CRY,DEF,5.0,0.3,13,3.2,289,3,1,0,0.96,0.31,1.27,7.10,38,3560,1780,1780,0.0,a,
O'Brien,EVE,DEF,4.9,0.3,1,0.2,15,0,0,0,0.00,0.00,0.00,0.26,1,522,1368,-846,0.0,a,
Smith Rowe,FUL,MID,5.4,0.3,3,0.8,38,0,0,0,0.06,0.02,0.08,0.87,3,279,1789,-1510,0.0,a,
Bobb,FUL,MID,5.5,0.3,10,2.5,273,4,0,0,0.32,1.05,1.37,5.07,22,1051,1963,-912,0.0,a,
Berge,FUL,MID,4.9,0.3,8,2.0,273,3,0,0,0.03,0.34,0.37,6.18,17,910,1502,-592,0.0,a,
Sessegnon,FUL,DEF,4.4,0.3,3,0.8,50,0,0,0,0.13,0.44,0.57,1.80,3,204,2162,-1958,0.0,d,75
Zepa,FUL,MID,4.5,0.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,831,2674,-1843,0.0,a,
Dowell,HUL,MID,4.5,0.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,825,2242,-1417,0.0,a,
Norton-Cuffy,HUL,DEF,4.0,0.3,1,0.5,34,0,0,0,0.05,0.00,0.05,0.30,1,3073,1889,1184,0.0,a,
Maeda,IPS,MID,5.4,0.3,7,1.8,243,3,0,0,0.71,0.01,0.72,5.57,19,126,2015,-1889,0.0,a,
Perri,LEE,GKP,4.5,0.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1769,-1769,0.0,u,0
Okafor,LEE,MID,5.8,0.3,15,3.8,224,3,1,0,0.15,0.26,0.41,1.69,13,5069,2099,2970,-0.1,a,
Tanaka,LEE,MID,4.9,0.3,12,3.0,188,2,0,2,0.59,0.05,0.64,2.58,24,3149,1364,1785,0.0,a,
Heaven,MUN,DEF,4.4,0.3,1,0.2,90,1,0,0,0.12,0.04,0.16,1.01,2,359,1909,-1550,0.0,a,
Amad,MUN,MID,5.8,0.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,43,2926,-2883,0.0,i,0
Fletcher,MUN,MID,4.5,0.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,338,1442,-1104,0.0,a,
Alderete,SUN,DEF,4.9,0.3,1,0.2,23,0,0,0,0.00,0.01,0.01,0.10,0,143,2095,-1952,0.0,a,100
