web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Milenković,NFO,DEF,5.5,1.5,12,3.0,270,3,0,0,0.11,0.03,0.14,3.28,31,166,14548,-14382,0.0,i,0
Isidor,SUN,FWD,5.5,1.5,14,3.5,95,0,1,1,1.49,0.01,1.50,1.99,3,3375,9368,-5993,0.0,a,
Dunk,BHA,DEF,4.5,1.4,22,5.5,360,4,1,0,0.03,0.09,0.12,7.04,23,11179,3512,7667,0.0,a,
Neto,CHE,MID,6.5,1.4,12,3.0,246,3,1,0,0.52,0.53,1.05,4.42,22,4792,8601,-3809,0.0,a,
Robinson,FUL,DEF,4.5,1.4,10,2.5,339,4,0,0,0.26,0.21,0.47,7.48,24,4015,3648,367,0.0,a,
King,FUL,MID,5.5,1.4,22,5.5,346,4,2,0,1.16,0.43,1.59,7.04,23,27235,7464,19771,0.0,a,
Phillips,HUL,GKP,4.0,1.4,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1787,2535,-748,0.0,a,
George Hemmings,AVL,MID,4.5,1.3,8,2.0,279,4,0,0,0.07,0.16,0.23,5.39,19,6278,6254,24,0.0,a,
Collins,BRE,DEF,5.5,1.3,10,2.5,196,3,0,0,0.51,0.05,0.56,2.13,17,47,17151,-17104,0.0,i,0
Caicedo,CHE,MID,5.4,1.3,1,0.2,13,0,0,0,0.00,0.00,0.00,0.07,0,244,15512,-15268,0.0,i,0
Gravenberch,LIV,MID,5.9,1.3,8,2.0,181,2,0,1,0.10,0.07,0.17,1.88,24,1377,9929,-8552,0.0,a,
Mac Allister,LIV,MID,5.4,1.3,6,1.5,216,2,0,0,0.10,0.44,0.54,4.06,28,3118,8497,-5379,0.0,a,
Martinez,MUN,DEF,5.0,1.3,6,1.5,270,3,0,0,0.06,0.14,0.20,4.17,16,4843,3353,1490,0.0,a,100
Delap,NFO,FWD,5.5,1.3,8,2.0,187,2,1,0,0.76,0.14,0.90,1.95,9,43760,4326,39434,0.0,a,
Yates,NFO,MID,4.5,1.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1550,6512,-4962,0.0,a,100
Scarlett,TOT,FWD,4.5,1.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,7704,-7704,0.0,u,0
N.Jackson,AVL,FWD,6.5,1.2,4,1.0,199,3,0,0,0.24,0.58,0.82,1.62,5,5344,13343,-7999,0.0,a,
Reed,FUL,MID,4.4,1.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,5385,5866,-481,-0.1,a,
Greaves,IPS,DEF,4.0,1.2,3,0.8,357,4,0,0,0.00,0.06,0.06,6.74,30,551,2283,-1732,0.0,a,
Akpom,IPS,FWD,5.0,1.2,6,1.5,69,0,1,0,0.97,0.00,0.97,4.04,3,8845,8037,808,0.0,a,
Obi,MUN,FWD,4.5,1.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,5061,5828,-767,0.0,u,0
Eze,ARS,MID,6.3,1.1,3,0.8,68,0,0,0,0.04,0.07,0.11,0.79,5,1066,8362,-7296,0.0,a,
Furo,BRE,FWD,4.5,1.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,5361,5344,17,0.0,i,0
Dovin,COV,GKP,4.0,1.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,4268,-4268,0.0,u,0
Lecomte,FUL,GKP,4.0,1.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1347,1425,-78,0.0,a,
McAteer,IPS,MID,4.5,1.1,3,0.8,42,0,0,0,0.05,0.00,0.05,0.21,5,992,5276,-4284,0.0,a,
Rodon,LEE,DEF,4.4,1.1,7,1.8,123,2,0,0,0.03,0.06,0.09,1.01,11,29,10495,-10466,0.0,i,0
Munoz,LIV,MID,6.5,1.1,14,3.5,239,3,1,1,0.52,0.25,0.77,4.49,13,2329,13296,-10967,0.0,a,
Hincapie,ARS,DEF,5.3,1.0,2,0.5,32,0,0,0,0.00,0.00,0.00,0.28,3,1103,7938,-6835,0.0,a,
Buendía,AVL,MID,5.9,1.0,9,2.2,311,4,0,0,0.78,0.17,0.95,6.30,19,1489,8500,-7011,0.0,a,
Kluivert,BOU,MID,6.0,1.0,15,3.8,294,4,1,0,0.99,0.08,1.07,4.48,22,4868,3388,1480,0.0,a,
Gusto,CHE,DEF,5.0,1.0,4,1.0,272,3,0,0,0.08,0.12,0.20,3.50,15,1660,6196,-4536,0.0,a,
Hato,CHE,DEF,4.5,1.0,8,2.0,258,4,0,2,0.01,0.21,0.22,4.81,18,2331,8953,-6622,0.0,a,
Colwill,CHE,DEF,4.9,1.0,2,0.5,251,3,0,0,0.01,0.04,0.05,4.02,19,839,8359,-7520,0.0,a,
Ampadu,LEE,MID,5.4,1.0,10,2.5,324,4,0,0,0.08,0.15,0.23,4.79,40,552,4165,-3613,0.0,a,
Woodman,LIV,GKP,4.0,1.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1020,1842,-822,0.0,a,
Pope,NEW,GKP,4.9,1.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,793,2646,-1853,0.0,a,
Wood,NFO,FWD,5.8,1.0,3,0.8,45,0,0,0,0.12,0.01,0.13,0.49,1,1625,6269,-4644,-0.1,a,
